Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Mabion SA,92.5,0,93,92,93,5980,553407,2018-12-07
Makarony Polskie SA,4.42,1.84,4.4,4.4,4.42,441,1945,2018-12-07
Mangata Holding SA,68,-2.58,68,68,68,54,3672,2018-12-07
Marie Brizard Wine & Spirits,17.4,0,0,0,0,0,0,2018-12-06
Marvipol Development SA,3.19,-0.31,3.19,3.16,3.2,4710,15047,2018-12-07
Master Pharm SA,5.86,-1.35,5.94,5.76,5.94,3861,22547,2018-12-07
Maxcom SA,16.6,-2.06,16.9,16.3,16.9,1816,29776,2018-12-07
mBank SA,416.2,-2.98,425.4,412.6,436,31367,13238864,2018-12-07
MCI Capital SA,9.6,-0.41,9.6,9.6,9.6,150,1440,2018-12-07
MDI Energia SA,3.3,0.92,3.4,3.3,3.4,2006,6720,2018-12-07
Mediacap SA,1.74,-1.69,1.76,1.74,1.76,175,305,2018-12-07
Mediatel SA,0.74,0,0,0,0,0,0,2018-12-06
Medicalgorithmics SA,30.65,4.97,28.55,28.55,30.95,13136,396604,2018-12-07
Megaron SA,12.5,0,0,0,0,0,0,2018-12-06
Mennica Polska SA,19.3,2.66,18.9,18.9,19.3,421,8051,2018-12-07
Mercator Medical SA,11.9,1.71,11.6,11.5,11.9,2923,34009,2018-12-07
Mercor SA,8.5,-3.19,8.88,8.5,8.88,3787,32268,2018-12-07
Mex Polska SA,3.7,0,3.7,3.7,3.7,1,4,2018-12-07
MFO SA,19.5,0,19.4,19.4,19.5,95,1847,2018-12-07
Milkiland NV,0.22,0,0.22,0.22,0.22,407989,89758,2018-12-07
Miraculum SA,1.53,-3.16,1.57,1.53,1.58,1651,2543,2018-12-07
Mirbud SA,1.01,3.06,0.98,0.96,1.03,89912,90315,2018-12-07
ML System SA,27,-0.95,27.2,27,27.2,50,1351,2018-12-07
MLP Group SA,44,0,44,44,44,10,440,2018-12-07
Mo-Bruk SA,44.6,0,44.6,44.6,44.6,1,45,2018-12-07
MOJ SA,0.62,1.64,0.6,0.58,0.62,21184,12814,2018-12-07
MOL Rt.,40.5,0,0,0,0,0,0,2018-12-06
Monnari Trade SA,4.67,-0.64,4.7,4.64,4.7,6292,29358,2018-12-07
Mostostal Płock SA,3.2,-6.71,3.41,3.15,3.41,5451,17414,2018-12-07
Mostostal Warszawa SA,2.22,-1.77,2.27,2.21,2.27,4780,10675,2018-12-07
Mostostal Zabrze SA,0.24,0,0.24,0.24,0.24,90175,21642,2018-12-07
Muza SA,2.76,0,0,0,0,0,0,2018-12-06
MW Trade SA,2.98,2.05,2.98,2.98,2.98,12,36,2018-12-07
MZN Property SA,1.2,0,1.2,1.2,1.2,122,146,2018-12-07
NanoGroup SA,2.8,0,0,0,0,0,0,2018-12-06
Netia SA,4.6,-2.75,4.64,4.56,4.73,796202,3662804,2018-12-07
Netmedia SA,10,0,10,10,10,326,3260,2018-12-07
Neuca SA,255.5,-1.73,258,255.5,259,202,51824,2018-12-07
New World Resources Plc,0.02,0,0,0,0,0,0,2018-12-06
Newag SA,14.9,-0.67,15.1,14.2,15.4,7876,116434,2018-12-07
North Coast SA,4.51,7.38,4.3,4.3,4.51,61,264,2018-12-07
Novaturas AB,33.5,0,0,0,0,0,0,2018-12-06
Novita SA,42.6,0,0,0,0,0,0,2018-12-06
NTT System SA,2.43,2.53,2.43,2.43,2.43,10,24,2018-12-07
Octava SA,0.84,3.7,0.84,0.84,0.84,1295,1088,2018-12-07
Odlewnie Polskie SA,2.98,0,2.92,2.92,2.98,6035,17830,2018-12-07
OEX SA,16.7,2.45,16.7,16.7,16.7,20,334,2018-12-07
OncoArendi Therapeutics SA,18.5,-4.59,19.8,18.5,19.8,10,186,2018-12-07
Open Finance SA,0.22,-8.33,0.24,0.22,0.25,457541,105609,2018-12-07
Oponeo.pl SA,23.4,1.3,23.5,23,23.8,1619,38034,2018-12-07
OPTeam SA,5.1,2,5,5,5.1,2019,10097,2018-12-07
Orange Polska SA,4.84,1.47,4.79,4.77,4.94,3112506,15195432,2018-12-07
Orbis SA,93.4,-1.06,92,92,94.4,2853,266006,2018-12-07
Orco Property Group SA,1.6,0,1.49,1.49,1.6,137,210,2018-12-07
Orion Investment SA,7.75,0,7.75,7.75,7.75,11,85,2018-12-07
Orzeł Biały SA,10.6,0,10.6,10.6,10.6,5,53,2018-12-07
OT Logistics SA,4.68,-2.5,4.32,4.32,4.96,3518,15909,2018-12-07
Ovostar Union NV,114,0,0,0,0,0,0,2018-12-06
PA Nova SA,15.25,-11.34,16.7,15.25,16.7,4676,74434,2018-12-07
Pamapol SA,1.07,0,0,0,0,0,0,2018-12-06
Patentus SA,0.93,5.68,0.9,0.88,0.93,9210,8143,2018-12-07
PBG SA,0.1,11.11,0.09,0.09,0.1,6804656,652945,2018-12-07
PBS Finanse SA,0.26,0,0.26,0.26,0.26,5898,1533,2018-12-07
PC Guard SA,1.17,0,0,0,0,0,0,2018-12-06
PCC Exol SA,1.55,0.65,1.58,1.55,1.58,840,1324,2018-12-07
PCC Rokita SA,83.8,0,83.8,83.8,84,1355,113785,2018-12-07
Peixin International Group NV,0.9,11.11,0.9,0.9,0.9,100,90,2018-12-07
Pekabex SA,12.9,-0.77,12.9,12.5,12.9,3050,38675,2018-12-07
Pepees SA,1.25,0,1.25,1.25,1.25,1,1,2018-12-07
Pfleiderer Group SA,32,0,32,32,32,2,64,2018-12-07
PGE SA,11.65,-0.26,11.7,11.53,11.75,1349162,15676659,2018-12-07
PGNiG SA,7,3.09,6.83,6.79,7.07,6001194,41666543,2018-12-07
PGO SA,2.98,-0.67,2.98,2.98,2.98,13,39,2018-12-07
PGS Software,9.3,0.22,9.28,9.28,9.3,316,2933,2018-12-07
PKN Orlen SA,106.85,-0.6,107.85,105.8,109.35,451403,48632317,2018-12-07
PKO BP SA,40.03,-1.45,40.78,39.98,41.24,1367982,55604433,2018-12-07
PKP Cargo SA,44.8,0.9,44.7,44.5,45.5,45246,2032197,2018-12-07
Plast-Box SA,1.68,0.6,1.69,1.68,1.69,31,52,2018-12-07
Platynowe Inwestycje SE,0.51,0,0,0,0,0,0,2018-12-06
Play Communications SA,19.06,7.02,18.14,18.09,19.67,2564637,49194947,2018-12-07
PlayWay SA,143,-0.35,144,142.5,147,13144,1904647,2018-12-07
Plaza Centers NV,2.74,0,2.74,2.74,2.74,201,551,2018-12-07
PME SA,0.87,0,0,0,0,0,0,2018-12-06
PMPG Polskie Media SA,3.07,-2.54,3.2,3.07,3.2,5413,16679,2018-12-07
Polenergia SA,19.4,-3,20,19.3,20.1,4251,83314,2018-12-07
Police SA,14.2,3.27,14,14,14.2,379,5365,2018-12-07
Polimex-Mostostal SA,3.02,0.33,3.03,2.99,3.11,250449,761820,2018-12-07
Polnord SA,9.99,-0.1,10,9.92,10.08,9395,93898,2018-12-07
Polski Bank Komórek Macierzystych SA,59.2,-1,59.8,59.2,59.8,9492,567460,2018-12-07
Polski Holding Nieruchomości SA,9.1,0.89,9.12,8.9,9.12,942,8485,2018-12-07
Polwax SA,6.98,1.16,6.92,6.92,6.98,10405,72255,2018-12-07
Pozbud T&R SA,2.55,-1.54,2.55,2.55,2.55,2,5,2018-12-07
Pragma Faktoring SA,16.55,0,0,0,0,0,0,2018-12-06
Pragma Inkaso SA,10,0,10,9.3,10,35,343,2018-12-07
Prairie Mining Ltd.,1.15,-1.71,1.17,1.15,1.18,27548,32006,2018-12-07
Prima Moda SA,2.67,0,0,0,0,0,0,2018-12-06
Prime Car Management SA,12.6,0.4,12.6,12.55,12.75,1670,21067,2018-12-07
Primetech SA,1.53,0,1.59,1.53,1.71,350071,572035,2018-12-07
Private Equity Managers SA,24.5,-0.81,25.2,24,25.2,2523,62260,2018-12-07
Procad SA,1.52,0,1.52,1.52,1.52,66,100,2018-12-07
Prochem SA,15.75,0,16.5,15.1,16.5,169,2590,2018-12-07
